channel1,Temperature Sensor,15,2024-11-26 22:07:31
channel1,Temperature Sensor,52,2024-11-26 22:07:35
channel1,Temperature Sensor,100,2024-11-26 22:07:42
channel1,Temperature Sensor,34,2024-11-26 22:08:06
channel1,Temperature Sensor,33,2024-11-26 22:08:22
channel1,Temperature Sensor,58,2024-11-27 11:09:16
channel1,Temperature Sensor,43,2024-11-27 11:09:26
channel1,Temperature Sensor,30,2024-11-27 11:09:43
channel1,Temperature Sensor (channel1),62,2024-11-27 18:55:51
channel2,Temperature Sensor (channel2),88,2024-11-27 18:55:51
channel1,Temperature Sensor (channel1),86,2024-11-27 18:55:58
channel2,Temperature Sensor (channel2),43,2024-11-27 18:55:58
channel1,Temperature Sensor (channel1),58,2024-11-27 18:56:02
channel2,Temperature Sensor (channel2),33,2024-11-27 18:56:02
